county,year,area_ha,production_ha,population,rainfall_mm,temperature_c,yield_per_hectare,production_per_person,log_production,rainfall_efficiency
Samburu,2021,12425,12090,310327.0,81.3275,22.925,0.9730382293762575,0.03895890463929984,9.400216653174247,148.65820294488333
Samburu,2022,15870,11178,310327.0,81.3275,22.925,0.7043478260869566,0.036020069152861336,9.321792297270326,137.4442839138053
Samburu,2023,6448,15298,310327.0,81.3275,22.925,2.372518610421836,0.04929638735914052,9.63554274576738,188.10365497525436
Samburu,2024,11572,9135,310327.0,81.3275,22.925,0.7894054614586934,0.029436690974359307,9.119977931895791,112.32362976852848
Siaya,2020,63493,72351,993183.0,125.33166666666666,23.145,1.1395114422062274,0.07284760210353983,11.189298375077696,577.2762935677337
Siaya,2021,83933,53512,993183.0,125.33166666666666,23.145,0.6375561459735741,0.05387929515507213,10.887679894020856,426.96312450963444
Siaya,2022,73521,76580,993183.0,125.33166666666666,23.145,1.041607159859088,0.07710562907339333,11.246104283185776,611.0187635473876
Siaya,2023,77550,115191,993183.0,125.33166666666666,23.145,1.485377176015474,0.11598164688682751,11.654355580388106,919.0893495924148
Siaya,2024,77660,143979,993183.0,125.33166666666666,23.145,1.8539660056657223,0.1449672416865774,11.877429680023294,1148.7838934028377
Taita_Taveta,2020,10006,16643,340671.0,62.392500000000005,23.898333333333337,1.6633020187887269,0.048853586011136846,9.719805070102831,266.74680450374643
Taita_Taveta,2021,12252,3360,340671.0,62.392500000000005,23.898333333333337,0.2742409402546523,0.009862888241147618,8.119993827725105,53.85262651761028
Taita_Taveta,2022,11464,10893,340671.0,62.392500000000005,23.898333333333337,0.9501919050942079,0.03197513143179196,9.29596745794362,174.58829186200262
Taita_Taveta,2023,13596,12393,340671.0,62.392500000000005,23.898333333333337,0.9115180935569285,0.03637820653944715,9.424967763522053,198.6296429859358
Taita_Taveta,2024,11426,13176,340671.0,62.392500000000005,23.898333333333337,1.1531594608786977,0.03867661174564316,9.486228164545253,211.1792282726289
Tana_River,2020,5666,8222,315943.0,48.458333333333336,27.421666666666667,1.4511118955171196,0.026023681486850476,9.014690384970896,169.67153912295785
Tana_River,2021,4251,958,315943.0,48.458333333333336,27.421666666666667,0.225358739120207,0.0030321925157385985,6.8658910748834385,19.76956147893379
Tana_River,2022,6673,8257,315943.0,48.458333333333336,27.421666666666667,1.237374494230481,0.026134460962895206,9.018937706446035,170.3938091143594
Tana_River,2023,5734,5879,315943.0,48.458333333333336,27.421666666666667,1.0252877572375305,0.018607786847627577,8.679312040892672,121.32072226999139
Tana_River,2024,5063,14658,315943.0,48.458333333333336,27.421666666666667,2.8951214694844953,0.04639444456753275,9.59280976029003,302.48667239896815
Tharaka_Nithi,2020,18591,41601,393177.0,97.0025,22.695000000000004,2.2376956591899306,0.1058073081589208,10.635903522016774,428.86523543207653
Tharaka_Nithi,2021,25420,30352,393177.0,97.0025,22.695000000000004,1.1940204563335957,0.07719678414556294,10.320650638390102,312.89915208370917
Tharaka_Nithi,2022,23640,20668,393177.0,97.0025,22.695000000000004,0.8742808798646362,0.052566655730116464,9.936390272211836,213.06667353934176
Tharaka_Nithi,2023,26617,33808,393177.0,97.0025,22.695000000000004,1.2701656835856783,0.0859867184499602,10.42848231821631,348.527099817015
Tharaka_Nithi,2024,37588,55426,393177.0,97.0025,22.695000000000004,1.4745663509630733,0.14096958876027846,10.92282211863275,571.3873353779542
Trans_Nzoia,2020,104850,489056,875689.0,108.85333333333334,18.104166666666668,4.664339532665713,,13.100234326081083,4492.797648211661
Trans_Nzoia,2021,107090,407913,875689.0,108.85333333333334,18.104166666666668,3.8090671397889624,,12.918811646854438,3747.3634247917685
Trans_Nzoia,2022,95140,339990,875689.0,108.85333333333334,18.104166666666668,3.5735757830565484,,12.736674425653757,3123.3770210681037
